id,geographic-area-name,median-income
0500000US35031,"McKinley County, New Mexico",37153
0500000US35035,"Otero County, New Mexico",39371
0500000US35043,"Sandoval County, New Mexico",71997
0500000US35045,"San Juan County, New Mexico",44321
0500000US35049,"Santa Fe County, New Mexico",61298
0500000US35061,"Valencia County, New Mexico",60601
0500000US36001,"Albany County, New York",69953
0500000US36005,"Bronx County, New York",41432
0500000US36007,"Broome County, New York",52010
0500000US36009,"Cattaraugus County, New York",50912
0500000US36011,"Cayuga County, New York",58665
0500000US36013,"Chautauqua County, New York",50272
0500000US36015,"Chemung County, New York",60782
0500000US36019,"Clinton County, New York",60198
0500000US36027,"Dutchess County, New York",85901
0500000US36029,"Erie County, New York",60652
0500000US36045,"Jefferson County, New York",53917
0500000US36047,"Kings County, New York",66937
0500000US36051,"Livingston County, New York",59173
0500000US36053,"Madison County, New York",62918
0500000US36055,"Monroe County, New York",62103
0500000US36059,"Nassau County, New York",118453
0500000US36061,"New York County, New York",93651
0500000US36063,"Niagara County, New York",56304
0500000US36065,"Oneida County, New York",57391
0500000US36067,"Onondaga County, New York",61577
0500000US36069,"Ontario County, New York",66568
0500000US36071,"Orange County, New York",84458
0500000US36075,"Oswego County, New York",58459
0500000US36079,"Putnam County, New York",106204
0500000US36081,"Queens County, New York",73696
0500000US36083,"Rensselaer County, New York",71574
0500000US36085,"Richmond County, New York",89821
0500000US36087,"Rockland County, New York",100916
0500000US36089,"St. Lawrence County, New York",52108
0500000US36091,"Saratoga County, New York",89932
0500000US36093,"Schenectady County, New York",65773
0500000US36101,"Steuben County, New York",52951
0500000US36103,"Suffolk County, New York",106228
0500000US36105,"Sullivan County, New York",60137
0500000US36109,"Tompkins County, New York",58626
0500000US36111,"Ulster County, New York",64087
0500000US36113,"Warren County, New York",64985
0500000US36117,"Wayne County, New York",61730
0500000US36119,"Westchester County, New York",101908
0500000US37001,"Alamance County, North Carolina",58490
0500000US37019,"Brunswick County, North Carolina",63668
0500000US37021,"Buncombe County, North Carolina",54970
0500000US37023,"Burke County, North Carolina",47361
0500000US37025,"Cabarrus County, North Carolina",72333
0500000US37027,"Caldwell County, North Carolina",48737
0500000US37031,"Carteret County, North Carolina",60186
0500000US37035,"Catawba County, North Carolina",52436
0500000US37037,"Chatham County, North Carolina",66857
0500000US37045,"Cleveland County, North Carolina",44987
0500000US37049,"Craven County, North Carolina",52832
0500000US37051,"Cumberland County, North Carolina",46292
0500000US37057,"Davidson County, North Carolina",53473
0500000US37063,"Durham County, North Carolina",65317
0500000US37067,"Forsyth County, North Carolina",52017
0500000US37069,"Franklin County, North Carolina",57099
0500000US37071,"Gaston County, North Carolina",56595
0500000US37081,"Guilford County, North Carolina",55328
0500000US37085,"Harnett County, North Carolina",55753
0500000US37089,"Henderson County, North Carolina",62131
0500000US37097,"Iredell County, North Carolina",68660
0500000US37101,"Johnston County, North Carolina",60951
0500000US37109,"Lincoln County, North Carolina",71514
0500000US37119,"Mecklenburg County, North Carolina",69072
0500000US37125,"Moore County, North Carolina",62469
0500000US37127,"Nash County, North Carolina",50656
0500000US37129,"New Hanover County, North Carolina",56382
0500000US37133,"Onslow County, North Carolina",49544
0500000US37135,"Orange County, North Carolina",74299
0500000US37147,"Pitt County, North Carolina",53401
0500000US37151,"Randolph County, North Carolina",49742
0500000US37155,"Robeson County, North Carolina",35035
0500000US37157,"Rockingham County, North Carolina",43230
